,month,unique_carrier,origin_airport_id,dest_airport_id,distance,arr_delay,carrier_avg_monthly_payload,carrier_avg_monthly_psngr,carrier_avg_monthly_dep_scheduled,carrier_avg_monthly_r2r,airport_avg_taxi_out,airport_avg_taxi_in
241,8,B6,10721,14100,280,-19.0,1629600.0,7093.0,52.5,8647.0,22.71,16.29
242,8,YX,12266,14100,1325,80.0,95460.0,242.0,5.0,468.0,18.5,16.29
243,5,YX,13930,12339,177,-12.0,190920.0,471.0,24.0,1739.0,26.06,8.33
244,8,AA,11298,12339,761,118.0,1355450.0,4577.0,28.75,8604.5,18.06,8.33
245,7,WN,13232,12339,162,47.0,1128400.0,3585.0,55.54,4874.0,10.31,8.33
246,1,YX,14100,12339,588,1.0,65409.0,205.0,12.67,437.0,22.22,8.33
247,2,YX,14100,12339,588,15.0,87212.0,250.0,4.0,782.0,22.22,8.33
248,6,OO,13930,15096,607,-8.0,354820.0,1289.0,19.29,2656.0,26.06,4.8
249,6,OO,13930,14057,1739,0.0,354820.0,1289.0,19.29,2656.0,26.06,5.57
250,9,WN,12892,14057,834,20.0,1715400.0,5348.5,47.38,5222.0,18.64,5.57
251,5,OO,15376,14057,1119,8.0,344240.0,1407.5,31.25,2839.5,11.0,5.57
252,6,AS,10721,14057,2537,-23.0,404050.0,1600.0,6.0,1449.5,22.71,5.57
253,4,OO,13487,14057,1426,-17.0,580140.0,2227.5,47.5,4180.0,17.79,5.57
254,7,WN,14679,14057,933,3.0,1128400.0,3585.0,55.54,4874.0,14.0,5.57
255,6,OO,13930,10693,409,120.0,354820.0,1289.0,19.29,2656.0,26.06,6.62
256,8,WN,13232,10693,395,-15.0,675300.0,2151.0,28.5,2738.5,10.31,6.62
257,4,WN,12889,10693,1587,84.0,737800.0,2428.0,27.86,1692.0,14.32,6.62
258,4,WN,10994,10693,439,-15.0,737800.0,2428.0,27.86,1692.0,12.14,6.62
259,6,OO,13930,11986,137,-20.0,354820.0,1289.0,19.29,2656.0,26.06,5.75
260,3,OO,11921,11292,212,-9.0,420000.0,1874.0,31.0,2596.0,13.0,9.27
261,3,OO,11503,11292,120,31.0,420000.0,1874.0,31.0,2596.0,26.0,9.27
262,4,WN,12264,11292,1452,-3.0,737800.0,2428.0,27.86,1692.0,19.57,9.27
263,3,WN,12889,11292,628,-2.0,325500.0,1160.5,13.42,920.5,14.32,9.27
264,6,UA,12889,11292,628,-14.0,116345.0,462.0,22.45,320.0,14.32,9.27
265,4,WN,15376,11292,639,-17.0,737800.0,2428.0,27.86,1692.0,11.0,9.27
266,2,OO,15376,11292,639,-10.0,364000.0,562.0,28.67,1942.0,11.0,9.27
267,2,WN,14908,11292,846,-6.0,629300.0,2150.0,20.25,2178.5,13.6,9.27
268,8,WN,13342,11292,896,-1.0,675300.0,2151.0,28.5,2738.5,14.29,9.27
