month,airline_id,unique_carrier,tdomt_cost,tdomt_gallons
12,19805,AA,271180046,181550822
9,20405,N8,80523,14485
11,20166,GFQ,346093,176807
12,20370,KAQ,5863789,3097387
2,20151,M6,458168,237776
12,20304,OO,19095798,8477821
9,20372,KLQ,674325,334744
8,20169,L2,468035,212215
6,20107,FX,88582000,61493610
1,20453,ABX,47791,25773
8,20370,KAQ,1327435,864632
3,20310,WL,124385,54955
7,20207,XP,447748,260360
5,20304,OO,10830449,6375164
8,20207,XP,66931,33642
10,20436,F9,26551284,18494105
5,20310,WL,99177,38284
6,20107,FX,110483000,55645254
10,20453,ABX,150339,77495
4,21492,1BQ,7463,1458
3,20190,9S,2452661,1132125
6,20207,XP,478329,230953
12,20190,9S,1994095,949569
12,19917,5X,95890000,51162000
12,20310,WL,168103,64970
4,20370,KAQ,6897031,3221168
10,20408,5V,1196540,422285
11,20447,U7,1512597,699444
6,19805,AA,276199571,198543094
11,21352,0WQ,57489,19893
1,20207,XP,288444,83607
4,19977,UA,202381053,116937794
11,21645,23Q,61368,20796
4,19790,DL,358110283,144125088
5,20447,U7,686029,317305
1,19917,5X,50705000,30696000
1,20368,G4,26151460,14466463
9,20207,XP,701213,352458
6,20107,FX,84463000,60279995
3,20355,US,130473559,75002959
11,20100,PO,4671263,3050947
1,20409,B6,56262137,48414077
6,20402,GL,661021,292920
5,20422,SY,11488221,5044703
11,20107,FX,78236000,54908619
8,20190,9S,1748088,832423
3,19790,DL,221359489,159812589
7,20409,B6,84232470,55423261
3,21629,KD,40542,40542
6,21492,1BQ,26793,8397
6,20436,F9,28792350,15388161
8,20108,NC,1043050,584905
10,20046,ZW,42800,14322
5,21650,EE,136952,80560
8,20207,XP,74160,35595
9,20107,FX,127853324,57340440
12,21634,KH,628542,480374
2,20416,NK,62838607,29560076
10,20453,ABX,0,38448
9,19690,HA,34062218,15274510
9,21171,VX,22139973,13737167
2,20452,YX,22851411,12748014
5,20151,M6,341744,226194
3,20203,FCQ,623800,169651
4,20453,ABX,320880,161669
7,20151,M6,530484,281433
9,20447,U7,1101340,486522
11,20310,WL,60560,35268
7,21634,KH,822598,380174
5,20453,ABX,497628,196691
3,20447,U7,648316,381138
8,20107,FX,79216000,55497962
1,20107,FX,114483000,63304927
9,20046,ZW,31571,10633
6,20304,OO,11480104,6376531
8,20107,FX,99798000,63066945
2,20166,GFQ,444142,182446
9,19977,UA,178628479,129425994
2,21634,KH,635575,338518
8,20108,NC,913881,465418
11,20453,ABX,339974,146031
6,19930,AS,64569458,39737824
7,20405,N8,444253,174020
3,20405,N8,413110,108920
1,21161,09Q,809790,256774
3,20409,B6,115143298,56342861
3,19930,AS,131141759,59266999
3,20372,KLQ,280014,122615
1,20366,EV,159104,81827
7,20422,SY,7839447,4128996
5,20372,KLQ,393885,153273
11,20169,L2,481893,198203
7,20107,FX,79483000,55252278
11,21161,09Q,1459328,425662
2,19977,UA,231327828,120087215
2,21650,EE,314861,228160
11,19393,WN,296169411,162797059
4,20372,KLQ,200638,68914
6,20405,N8,121690,45584
5,20107,FX,133676000,60949705
10,20372,KLQ,446912,177198
